sample,time,code,chan
47207,23.05029296875,4.0,1.0
47340,23.115234375,5.0,1.0
48833,23.84423828125,2.0,-1.0
48853,23.85400390625,255.0,-1.0
65314,31.8916015625,254.0,-1.0
70944,34.640625,57.0,-1.0
72604,35.451171875,10.0,-1.0
72809,35.55126953125,12.0,-1.0
73336,35.80859375,4.0,1.0
73622,35.9482421875,200.0,-1.0
73739,36.00537109375,5.0,1.0
73928,36.09765625,4.0,1.0
74192,36.2265625,5.0,1.0
74254,36.2568359375,4.0,1.0
74384,36.3203125,5.0,1.0
75440,36.8359375,1.0,-1.0
76948,37.572265625,57.0,-1.0
78608,38.3828125,20.0,-1.0
78813,38.48291015625,22.0,-1.0
79275,38.70849609375,4.0,1.0
79530,38.8330078125,200.0,-1.0
79703,38.91748046875,5.0,1.0
79850,38.9892578125,4.0,1.0
80077,39.10009765625,5.0,1.0
81075,39.58740234375,1.0,-1.0
82604,40.333984375,57.0,-1.0
84264,41.14453125,10.0,-1.0
84469,41.24462890625,11.0,-1.0
84930,41.4697265625,4.0,1.0
85022,41.5146484375,5.0,1.0
85112,41.55859375,4.0,0.0
85352,41.67578125,100.0,-1.0
85733,41.86181640625,5.0,0.0
87367,42.65966796875,2.0,-1.0
88875,43.39599609375,57.0,-1.0
90534,44.2060546875,20.0,-1.0
90739,44.30615234375,22.0,-1.0
91074,44.4697265625,4.0,1.0
91120,44.4921875,5.0,1.0
91232,44.546875,4.0,0.0
91343,44.60107421875,4.0,1.0
91358,44.6083984375,5.0,0.0
91610,44.7314453125,200.0,-1.0
91755,44.80224609375,5.0,1.0
92216,45.02734375,4.0,1.0
92275,45.05615234375,5.0,1.0
93904,45.8515625,2.0,-1.0
95412,46.587890625,57.0,-1.0
97071,47.39794921875,10.0,-1.0
97276,47.498046875,11.0,-1.0
97643,47.67724609375,4.0,0.0
97914,47.8095703125,100.0,-1.0
97994,47.8486328125,5.0,0.0
98603,48.14599609375,4.0,0.0
98692,48.189453125,5.0,0.0
99834,48.7470703125,1.0,-1.0
101354,49.4892578125,57.0,-1.0
103014,50.2998046875,20.0,-1.0
103219,50.39990234375,21.0,-1.0
103522,50.5478515625,4.0,0.0
103637,50.60400390625,5.0,0.0
103732,50.650390625,4.0,0.0
103818,50.6923828125,5.0,0.0
103871,50.71826171875,4.0,0.0
104069,50.81494140625,100.0,-1.0
104176,50.8671875,5.0,0.0
104448,51.0,4.0,0.0
104498,51.0244140625,5.0,0.0
105831,51.67529296875,1.0,-1.0
107359,52.42138671875,57.0,-1.0
109019,53.23193359375,20.0,-1.0
109223,53.33154296875,22.0,-1.0
109650,53.5400390625,4.0,1.0
109757,53.59228515625,5.0,1.0
109854,53.6396484375,4.0,1.0
110086,53.7529296875,200.0,-1.0
110210,53.8134765625,5.0,1.0
110362,53.8876953125,4.0,0.0
110395,53.90380859375,4.0,1.0
110469,53.93994140625,5.0,0.0
110582,53.9951171875,5.0,1.0
112073,54.72314453125,1.0,-1.0
113588,55.462890625,57.0,-1.0
115248,56.2734375,20.0,-1.0
115453,56.37353515625,21.0,-1.0
115955,56.61865234375,4.0,0.0
116168,56.72265625,100.0,-1.0
116599,56.93310546875,5.0,0.0
